name,locdate,isHoliday
신정,2016-01-01,Y
설날,2016-02-07,Y
설날,2016-02-08,Y
설날,2016-02-09,Y
대체공휴일,2016-02-10,Y
삼일절,2016-03-01,Y
국회의원선거일,2016-04-13,Y
어린이날,2016-05-05,Y
임시공휴일,2016-05-06,Y
석가탄신일,2016-05-14,Y
현충일,2016-06-06,Y
제헌절,2016-07-17,N
광복절,2016-08-15,Y
추석,2016-09-14,Y
추석,2016-09-15,Y
추석,2016-09-16,Y
개천절,2016-10-03,Y
한글날,2016-10-09,Y
기독탄신일,2016-12-25,Y
신정,2017-01-01,Y
설날,2017-01-27,Y
설날,2017-01-28,Y
설날,2017-01-29,Y
대체공휴일,2017-01-30,Y
삼일절,2017-03-01,Y
석가탄신일,2017-05-03,Y
어린이날,2017-05-05,Y
대통령선거일,2017-05-09,Y
현충일,2017-06-06,Y
제헌절,2017-07-17,N
광복절,2017-08-15,Y
임시공휴일,2017-10-02,Y
개천절,2017-10-03,Y
추석,2017-10-03,Y
추석,2017-10-04,Y
추석,2017-10-05,Y
대체공휴일,2017-10-06,Y
한글날,2017-10-09,Y
기독탄신일,2017-12-25,Y
1월1일,2018-01-01,Y
설날,2018-02-15,Y
설날,2018-02-16,Y
설날,2018-02-17,Y
삼일절,2018-03-01,Y
어린이날,2018-05-05,Y
대체휴무일,2018-05-07,Y
부처님오신날,2018-05-22,Y
현충일,2018-06-06,Y
전국동시지방선거,2018-06-13,Y
제헌절,2018-07-17,N
광복절,2018-08-15,Y
추석,2018-09-23,Y
추석,2018-09-24,Y
추석,2018-09-25,Y
대체휴무일,2018-09-26,Y
개천절,2018-10-03,Y
한글날,2018-10-09,Y
기독탄신일,2018-12-25,Y
1월1일,2019-01-01,Y
설날,2019-02-04,Y
설날,2019-02-05,Y
설날,2019-02-06,Y
삼일절,2019-03-01,Y
어린이날,2019-05-05,Y
대체공휴일,2019-05-06,Y
부처님오신날,2019-05-12,Y
현충일,2019-06-06,Y
제헌절,2019-07-17,N
광복절,2019-08-15,Y
추석,2019-09-12,Y
추석,2019-09-13,Y
추석,2019-09-14,Y
개천절,2019-10-03,Y
한글날,2019-10-09,Y
기독탄신일,2019-12-25,Y
1월1일,2020-01-01,Y
설날,2020-01-24,Y
설날,2020-01-25,Y
설날,2020-01-26,Y
대체공휴일,2020-01-27,Y
삼일절,2020-03-01,Y
제21대 국회의원선거,2020-04-15,Y
부처님오신날,2020-04-30,Y
어린이날,2020-05-05,Y
현충일,2020-06-06,Y
제헌절,2020-07-17,N
광복절,2020-08-15,Y
임시공휴일,2020-08-17,Y
추석,2020-09-30,Y
추석,2020-10-01,Y
추석,2020-10-02,Y
개천절,2020-10-03,Y
한글날,2020-10-09,Y
기독탄신일,2020-12-25,Y
1월1일,2021-01-01,Y
설날,2021-02-11,Y
설날,2021-02-12,Y
설날,2021-02-13,Y
삼일절,2021-03-01,Y
어린이날,2021-05-05,Y
부처님오신날,2021-05-19,Y
현충일,2021-06-06,Y
제헌절,2021-07-17,N
광복절,2021-08-15,Y
대체공휴일,2021-08-16,Y
추석,2021-09-20,Y
추석,2021-09-21,Y
추석,2021-09-22,Y
개천절,2021-10-03,Y
대체공휴일,2021-10-04,Y
한글날,2021-10-09,Y
대체공휴일,2021-10-11,Y
기독탄신일,2021-12-25,Y
